n,p,k,temperature,humidity,ph,rainfall,label,label_enc
0.120000972,0.857142857,0.995,0.374043656,0.935682358,0.395301326,0.282324035,apple,7
0.086667369,0.828571429,0.955,0.369939023,0.924340621,0.456994704,0.290996683,apple,7
0.173334737,0.835714286,0.985,0.37652317,0.938709356,0.328516904,0.258120191,apple,7
0.186668178,0.842857143,0.985,0.385404702,0.90822856,0.456824632,0.291697584,apple,7
0.173334737,0.828571429,0.98,0.369499017,0.883750213,0.413241401,0.271114491,apple,7
0.140001134,0.942857143,0.955,0.40877903,0.90331283,0.358928153,0.299689486,apple,7
0.140001134,0.928571429,0.965,0.415661485,0.940842061,0.351499823,0.252646639,apple,7
0.033333603,0.992857143,1,0.348230425,0.914086983,0.41680081,0.247022647,apple,7
0.013333441,0.842857143,1,0.374342535,0.8926145,0.347555559,0.303219305,apple,7
0.10000081,0.914285714,0.97,0.419421084,0.902228999,0.360793814,0.284537749,apple,7
0.20666834,0.892857143,0.965,0.358722764,0.915344515,0.318812341,0.290741502,apple,7
0.166668016,0.985714286,0.975,0.414099296,0.916160402,0.391813978,0.241485452,apple,7
0.106667531,0.985714286,0.995,0.411621929,0.901334313,0.3307106,0.295397402,apple,7
0.126667693,0.835714286,0.985,0.401390757,0.887879991,0.358802699,0.272591048,apple,7
0.066667207,0.857142857,0.955,0.372856405,0.883867087,0.346141212,0.273030449,apple,7
0.133334413,0.957142857,0.985,0.405740582,0.909236959,0.336722361,0.260153756,apple,7
0.186668178,0.842857143,0.965,0.404651028,0.900440135,0.338706771,0.269755542,apple,7
0.186668178,0.935714286,0.975,0.393577201,0.911390134,0.42627719,0.277264708,apple,7
0.013333441,0.9,0.97,0.377325875,0.897768479,0.390744259,0.301280443,apple,7
0.013333441,0.964285714,0.96,0.383507393,0.91636823,0.315662263,0.252714268,apple,7
0.180001458,0.95,0.98,0.410296803,0.928961515,0.380635542,0.253600224,apple,7
0.20000162,0.871428571,0.995,0.378052896,0.91212896,0.407705489,0.242283951,apple,7
0.213335061,1,0.99,0.414822878,0.893296806,0.451308472,0.264232666,apple,7
0.193334899,0.957142857,1,0.409594676,0.927126824,0.412293563,0.282208978,apple,7
0.173334737,0.864285714,0.95,0.348005548,0.918339568,0.369158902,0.286533427,apple,7
0.266668826,0.935714286,0.985,0.387788979,0.936829396,0.377986948,0.284337859,apple,7
0.040000324,0.85,0.975,0.391366558,0.928298298,0.383584767,0.264203644,apple,7
0.233335223,0.95,0.975,0.342074316,0.892876584,0.336926879,0.249250705,apple,7
0.113334251,0.935714286,0.955,0.415967049,0.889274713,0.369716727,0.24765672,apple,7
0.220001782,0.921428571,1,0.337579987,0.934061979,0.401342306,0.277268162,apple,7
0.106667531,0.985714286,0.96,0.381276778,0.924504408,0.373117864,0.282803056,apple,7
0.180001458,0.821428571,0.975,0.349087847,0.892143214,0.40518342,0.2822405,apple,7
0.193334899,1,1,0.386672142,0.908293129,0.421058756,0.263578119,apple,7
0.020000162,0.971428571,0.96,0.363702348,0.896597368,0.410250738,0.279137216,apple,7
0.10000081,0.842857143,0.995,0.378788015,0.913167295,0.444956422,0.278894202,apple,7
0.033333603,0.935714286,0.95,0.374065915,0.905886668,0.429129901,0.259603527,apple,7
0.066667207,0.935714286,0.995,0.342058466,0.908596746,0.430995401,0.254753012,apple,7
0.046667045,0.971428571,0.95,0.416224778,0.923698334,0.312503122,0.252361668,apple,7
0.013333441,0.885714286,0.98,0.385844585,0.934398363,0.338643364,0.296027889,apple,7
0.193334899,0.95,0.96,0.369484081,0.911882365,0.36174456,0.294804765,apple,7
0.20000162,0.942857143,0.975,0.389492705,0.891670082,0.326368648,0.287056809,apple,7
0.193334899,0.907142857,0.995,0.394336458,0.886075092,0.403089327,0.260735941,apple,7
0.093334089,0.957142857,0.96,0.356609143,0.916572604,0.396834046,0.294890662,apple,7
0.120000972,0.857142857,0.99,0.376465314,0.902022816,0.412966629,0.246394296,apple,7
0.220001782,0.985714286,0.995,0.340208564,0.906284337,0.359185211,0.297026722,apple,7
0.266668826,0.992857143,0.955,0.384052175,0.909749693,0.386062158,0.257726585,apple,7
0.060000486,0.985714286,0.96,0.412605516,0.917060723,0.321175689,0.284664418,apple,7
0.253335385,0.928571429,0.99,0.412906512,0.926159046,0.382685768,0.242009198,apple,7
0.186668178,0.892857143,0.955,0.367934601,0.938001615,0.39774021,0.272654193,apple,7
0.233335223,0.978571429,0.99,0.341294607,0.886217726,0.371763745,0.299840078,apple,7
0.080000648,0.885714286,1,0.374234447,0.896952219,0.40661622,0.287256494,apple,7
0.006666721,0.928571429,0.99,0.385740181,0.914956964,0.329601777,0.274822132,apple,7
0,1,1,0.34279143,0.884601991,0.31351862,0.275329211,apple,7
0.20666834,0.828571429,0.98,0.396227539,0.887461886,0.346293274,0.267060824,apple,7
0.233335223,0.9,0.99,0.376041874,0.929140131,0.371479451,0.246816161,apple,7
0.193334899,0.964285714,0.95,0.409578261,0.894560683,0.319698375,0.282340519,apple,7
0.220001782,0.95,0.965,0.372350438,0.891501938,0.422627599,0.297540277,apple,7
0.093334089,0.964285714,0.96,0.401600236,0.893953781,0.399124066,0.272952718,apple,7
0.233335223,1,0.95,0.365297431,0.936879556,0.424114179,0.267738775,apple,7
0.266668826,0.821428571,0.96,0.414142829,0.912479011,0.37085581,0.289664342,apple,7
0.166668016,0.907142857,0.965,0.373047278,0.893384544,0.346483351,0.2402137,apple,7
0.20666834,0.942857143,0.955,0.36821478,0.928072298,0.450298058,0.292191892,apple,7
0.240001944,0.992857143,0.955,0.409878101,0.935999267,0.46532266,0.278838762,apple,7
0.066667207,0.964285714,0.96,0.368899118,0.886620765,0.42373299,0.301914764,apple,7
0.133334413,0.885714286,0.98,0.403209124,0.903268442,0.323957079,0.280654668,apple,7
0.213335061,0.942857143,0.995,0.387993353,0.919941651,0.360696316,0.28484024,apple,7
0.180001458,0.957142857,1,0.377597504,0.923202813,0.352614044,0.253972411,apple,7
0.146667854,0.992857143,0.955,0.361780808,0.90313253,0.465679147,0.283184272,apple,7
0.006666721,0.85,0.97,0.411506881,0.921636716,0.334931284,0.272013988,apple,7
0.193334899,0.828571429,0.955,0.387674376,0.933853271,0.400405814,0.299709002,apple,7
0.086667369,0.864285714,0.995,0.39488714,0.916065829,0.447632422,0.260652659,apple,7
0.20000162,0.985714286,0.97,0.413116542,0.890426092,0.356683947,0.245655113,apple,7
0.220001782,0.828571429,0.99,0.376849324,0.939003506,0.326760683,0.277520276,apple,7
0.046667045,0.992857143,0.95,0.390863509,0.925214464,0.365723945,0.251691807,apple,7
0.213335061,0.971428571,0.99,0.343741788,0.916623999,0.36026027,0.262887631,apple,7
0.246668664,0.864285714,0.955,0.40844873,0.894833589,0.325285707,0.258091032,apple,7
0.013333441,0.821428571,0.99,0.395359886,0.938410735,0.371479778,0.261760931,apple,7
0.153334575,0.95,0.95,0.377788831,0.903312701,0.356316146,0.301720163,apple,7
0.140001134,0.928571429,0.965,0.415661485,0.940842061,0.351499823,0.252646639,apple,7
0.013333441,0.842857143,1,0.374342535,0.8926145,0.347555559,0.303219305,apple,7
0.10000081,0.914285714,0.97,0.419421084,0.902228999,0.360793814,0.284537749,apple,7
0.20666834,0.892857143,0.965,0.358722764,0.915344515,0.318812341,0.290741502,apple,7
0.106667531,0.985714286,0.995,0.411621929,0.901334313,0.3307106,0.295397402,apple,7
0.193334899,0.957142857,1,0.409594676,0.927126824,0.412293563,0.282208978,apple,7
0.266668826,0.935714286,0.985,0.387788979,0.936829396,0.377986948,0.284337859,apple,7
0.113334251,0.935714286,0.955,0.415967049,0.889274713,0.369716727,0.24765672,apple,7
0.180001458,0.821428571,0.975,0.349087847,0.892143214,0.40518342,0.2822405,apple,7
0.020000162,0.971428571,0.96,0.363702348,0.896597368,0.410250738,0.279137216,apple,7
0.10000081,0.842857143,0.995,0.378788015,0.913167295,0.444956422,0.278894202,apple,7
0.193334899,0.95,0.96,0.369484081,0.911882365,0.36174456,0.294804765,apple,7
0.20000162,0.942857143,0.975,0.389492705,0.891670082,0.326368648,0.287056809,apple,7
0.253335385,0.928571429,0.99,0.412906512,0.926159046,0.382685768,0.242009198,apple,7
0.186668178,0.892857143,0.955,0.367934601,0.938001615,0.39774021,0.272654193,apple,7
0.233335223,0.978571429,0.99,0.341294607,0.886217726,0.371763745,0.299840078,apple,7
0.080000648,0.885714286,1,0.374234447,0.896952219,0.40661622,0.287256494,apple,7
0.20666834,0.828571429,0.98,0.396227539,0.887461886,0.346293274,0.267060824,apple,7
0.220001782,0.95,0.965,0.372350438,0.891501938,0.422627599,0.297540277,apple,7
0.20666834,0.942857143,0.955,0.36821478,0.928072298,0.450298058,0.292191892,apple,7
0.60667158,0.635714286,0.205,0.567908913,0.723058994,0.411359644,0.221744822,banana,8
0.700005669,0.642857143,0.225,0.511670695,0.809695853,0.364572381,0.242575566,banana,8
0.720005831,0.621428571,0.24,0.513518715,0.801361512,0.431088977,0.252427887,banana,8
0.573337977,0.507142857,0.245,0.566470879,0.76816178,0.376663293,0.214856297,banana,8
0.533337653,0.514285714,0.22,0.476301642,0.75977177,0.31325507,0.273438196,banana,8
0.620005021,0.635714286,0.24,0.471104049,0.818409293,0.400356297,0.276747403,banana,8
0.600004859,0.621428571,0.25,0.50270322,0.768973718,0.408983695,0.233139195,banana,8
0.720005831,0.6,0.24,0.572957731,0.74427136,0.358261905,0.238256266,banana,8
0.720005831,0.592857143,0.25,0.482774373,0.80635165,0.371163326,0.275068059,banana,8
0.700005669,0.514285714,0.235,0.562223309,0.72203857,0.359525427,0.239935546,banana,8
0.786673038,0.592857143,0.235,0.548062359,0.798157572,0.363652843,0.236751228,banana,8
0.673338787,0.585714286,0.245,0.559758561,0.725991907,0.446633464,0.240345256,banana,8
0.633338463,0.5,0.225,0.532349025,0.711573478,0.329510398,0.286225017,banana,8
0.70667239,0.571428571,0.24,0.50795978,0.752914089,0.374832959,0.239217817,banana,8
0.573337977,0.642857143,0.22,0.531607577,0.744019424,0.459379021,0.261189642,banana,8
0.553337815,0.528571429,0.25,0.451230961,0.805848268,0.320399361,0.236538262,banana,8
0.566671256,0.642857143,0.21,0.473146144,0.747474061,0.420985751,0.290207633,banana,8
0.726672552,0.528571429,0.2,0.520899938,0.763141279,0.464255833,0.261871043,banana,8
0.666672066,0.507142857,0.2,0.462829799,0.71946272,0.324319433,0.24697756,banana,8
0.780006317,0.578571429,0.215,0.549322477,0.796459686,0.423068391,0.280867233,banana,8
0.760006155,0.635714286,0.24,0.484073415,0.730106344,0.417708209,0.287262965,banana,8
0.733339272,0.521428571,0.225,0.473066293,0.753964283,0.374912874,0.235399767,banana,8
0.626671742,0.464285714,0.215,0.450937503,0.823776472,0.418391685,0.218288726,banana,8
0.533337653,0.471428571,0.21,0.51641436,0.77611639,0.412361063,0.252782367,banana,8
0.760006155,0.528571429,0.23,0.480607834,0.794154147,0.436749158,0.270499634,banana,8
0.586671418,0.521428571,0.2,0.560613461,0.757431294,0.438471134,0.219844323,banana,8
0.746672714,0.485714286,0.215,0.564484696,0.735553067,0.342553771,0.216268898,banana,8
0.780006317,0.507142857,0.21,0.462691337,0.736277613,0.406582597,0.222439248,banana,8
0.740005993,0.585714286,0.215,0.485817954,0.782676763,0.321390372,0.235273189,banana,8
0.593338139,0.557142857,0.21,0.532739261,0.741101558,0.330701,0.264091234,banana,8
0.620005021,0.614285714,0.21,0.525880385,0.805430997,0.403787343,0.283720844,banana,8
0.613338301,0.542857143,0.235,0.513321863,0.783903743,0.45617894,0.225501498,banana,8
0.700005669,0.492857143,0.2,0.451167273,0.782930477,0.403340639,0.28861179,banana,8
0.680005507,0.471428571,0.215,0.548187407,0.758493303,0.340653223,0.246158136,banana,8
0.626671742,0.614285714,0.23,0.562186504,0.728025983,0.328651775,0.264180127,banana,8
0.773339596,0.471428571,0.21,0.518280572,0.790883498,0.455813255,0.217980461,banana,8
0.780006317,0.528571429,0.22,0.45846365,0.794361606,0.415513421,0.272804089,banana,8
0.793339758,0.478571429,0.25,0.4745424,0.805766028,0.422355898,0.270519175,banana,8
0.660005345,0.485714286,0.24,0.482827745,0.77917465,0.368091031,0.287230558,banana,8
0.60667158,0.564285714,0.235,0.561836449,0.751766842,0.448808342,0.284351487,banana,8
0.533337653,0.607142857,0.21,0.491316293,0.759333717,0.420832047,0.25865266,banana,8
0.673338787,0.464285714,0.215,0.457122642,0.708863178,0.390017473,0.281859127,banana,8
0.720005831,0.6,0.24,0.561065039,0.768919356,0.373855556,0.271331241,banana,8
0.666672066,0.535714286,0.235,0.517349815,0.73480806,0.395787796,0.266081175,banana,8
0.726672552,0.614285714,0.24,0.576184704,0.807752521,0.389613015,0.265890879,banana,8
0.546671094,0.521428571,0.205,0.44875781,0.824817985,0.347404201,0.266371723,banana,8
0.70667239,0.464285714,0.25,0.471157232,0.749594441,0.347696023,0.281222656,banana,8
0.600004859,0.578571429,0.235,0.470662981,0.789622824,0.355892303,0.288275965,banana,8
0.553337815,0.642857143,0.225,0.489087686,0.741139677,0.311759383,0.26235275,banana,8
0.793339758,0.607142857,0.215,0.548538198,0.762056504,0.385934586,0.2861798,banana,8
0.713339111,0.478571429,0.2,0.534221438,0.784825259,0.355504731,0.218138367,banana,8
0.773339596,0.542857143,0.25,0.486497536,0.809961236,0.374909366,0.22755947,banana,8
0.673338787,0.5,0.225,0.491217546,0.783226298,0.425759235,0.265210408,banana,8
0.620005021,0.542857143,0.225,0.522301506,0.726902624,0.393653769,0.24551608,banana,8
0.633338463,0.5,0.2,0.557276595,0.801330829,0.361590019,0.26277796,banana,8
0.713339111,0.471428571,0.25,0.569353564,0.813087646,0.401738131,0.283571824,banana,8
0.553337815,0.635714286,0.21,0.513468601,0.779701816,0.461036177,0.270665689,banana,8
0.680005507,0.485714286,0.245,0.485913918,0.818249304,0.344612437,0.267829548,banana,8
0.573337977,0.528571429,0.2,0.524908231,0.798219726,0.358132295,0.237913675,banana,8
0.780006317,0.578571429,0.24,0.452583457,0.808314221,0.34191504,0.280099292,banana,8
0.740005993,0.528571429,0.24,0.538715114,0.717514384,0.413702793,0.289821972,banana,8
0.633338463,0.492857143,0.225,0.472066325,0.772310298,0.388428902,0.265516177,banana,8
0.60667158,0.5,0.25,0.515885033,0.721465671,0.421069137,0.263422364,banana,8
0.620005021,0.557142857,0.205,0.568312998,0.807683653,0.351545515,0.263350859,banana,8
0.613338301,0.571428571,0.23,0.563852226,0.779428907,0.347728568,0.262370225,banana,8
0.693338949,0.535714286,0.245,0.504950854,0.782382599,0.369244507,0.265591908,banana,8
0.686672228,0.478571429,0.23,0.478295014,0.78796474,0.4035132,0.25127116,banana,8
0.613338301,0.5,0.2,0.558071224,0.742921805,0.337408532,0.215680229,banana,8
0.620005021,0.571428571,0.22,0.529206523,0.758485374,0.340493982,0.289266534,banana,8
0.800006479,0.585714286,0.235,0.53220484,0.720798757,0.373346196,0.288039661,banana,8
0.720005831,0.478571429,0.205,0.451654007,0.824879278,0.405280755,0.216973979,banana,8
0.700005669,0.592857143,0.245,0.468924833,0.819437464,0.391222489,0.275898053,banana,8
0.653338625,0.528571429,0.225,0.45658646,0.81898573,0.455833706,0.217276485,banana,8
0.740005993,0.592857143,0.25,0.570121424,0.747561606,0.311125386,0.230922375,banana,8
0.646671904,0.492857143,0.2,0.487937698,0.749528408,0.337924297,0.273150283,banana,8
0.633338463,0.55,0.215,0.513362786,0.805438142,0.344346212,0.221625547,banana,8
0.593338139,0.614285714,0.25,0.449461468,0.769863246,0.430898003,0.225548612,banana,8
0.593338139,0.571428571,0.25,0.493377227,0.725816532,0.430868815,0.218970732,banana,8
0.786673038,0.592857143,0.23,0.459573996,0.760887709,0.419442828,0.241593552,banana,8
0.673338787,0.621428571,0.2,0.53638826,0.774310793,0.350417318,0.234858934,banana,8
0.660005345,0.621428571,0.21,0.533628753,0.737446114,0.438418813,0.248796257,banana,8
0.546671094,0.514285714,0.205,0.556273391,0.792341631,0.372662895,0.229350741,banana,8
0.600004859,0.578571429,0.25,0.529051057,0.815262868,0.33275609,0.233733503,banana,8
0.633338463,0.592857143,0.235,0.530178806,0.753990124,0.424660303,0.226440996,banana,8
0.693338949,0.485714286,0.205,0.561610299,0.768198705,0.431953946,0.215721972,banana,8
0.680005507,0.485714286,0.235,0.527664413,0.806037164,0.443419678,0.215191609,banana,8
0.666672066,0.492857143,0.235,0.45917432,0.784770312,0.362734551,0.230992253,banana,8
0.626671742,0.6,0.215,0.545567877,0.819485065,0.334148135,0.268002043,banana,8
0.660005345,0.464285714,0.205,0.491271282,0.801750556,0.345661066,0.241214535,banana,8
0.746672714,0.585714286,0.215,0.507894993,0.736449922,0.419162815,0.238572189,banana,8
0.780006317,0.55,0.2,0.45527929,0.758543284,0.328088357,0.253654828,banana,8
0.640005183,0.578571429,0.23,0.582864281,0.731671736,0.428067282,0.219644885,banana,8
0.753339434,0.571428571,0.2,0.528701527,0.72758615,0.393863955,0.262954311,banana,8
0.700005669,0.628571429,0.205,0.447435304,0.752377577,0.350791062,0.261122073,banana,8
0.566671256,0.6,0.23,0.563583022,0.821653112,0.412639575,0.261580931,banana,8
0.720005831,0.635714286,0.21,0.512373629,0.819837629,0.448293524,0.216636875,banana,8
0.613338301,0.542857143,0.235,0.530386704,0.726314162,0.37115645,0.249301853,banana,8
0.733339272,0.471428571,0.245,0.548671943,0.79256367,0.345342112,0.225675963,banana,8
0.546671094,0.5,0.25,0.512006912,0.749167359,0.431752889,0.220039138,banana,8
0.780006317,0.542857143,0.24,0.571755074,0.74588364,0.31147497,0.235167119,banana,8
0.620005021,0.635714286,0.24,0.471104049,0.818409293,0.400356297,0.276747403,banana,8
0.720005831,0.6,0.24,0.572957731,0.74427136,0.358261905,0.238256266,banana,8
0.700005669,0.514285714,0.235,0.562223309,0.72203857,0.359525427,0.239935546,banana,8
0.786673038,0.592857143,0.235,0.548062359,0.798157572,0.363652843,0.236751228,banana,8
0.673338787,0.585714286,0.245,0.559758561,0.725991907,0.446633464,0.240345256,banana,8
0.633338463,0.5,0.225,0.532349025,0.711573478,0.329510398,0.286225017,banana,8
0.70667239,0.571428571,0.24,0.50795978,0.752914089,0.374832959,0.239217817,banana,8
0.780006317,0.578571429,0.215,0.549322477,0.796459686,0.423068391,0.280867233,banana,8
0.760006155,0.635714286,0.24,0.484073415,0.730106344,0.417708209,0.287262965,banana,8
0.746672714,0.485714286,0.215,0.564484696,0.735553067,0.342553771,0.216268898,banana,8
0.613338301,0.542857143,0.235,0.513321863,0.783903743,0.45617894,0.225501498,banana,8
0.680005507,0.471428571,0.215,0.548187407,0.758493303,0.340653223,0.246158136,banana,8
0.626671742,0.614285714,0.23,0.562186504,0.728025983,0.328651775,0.264180127,banana,8
0.660005345,0.485714286,0.24,0.482827745,0.77917465,0.368091031,0.287230558,banana,8
0.726672552,0.614285714,0.24,0.576184704,0.807752521,0.389613015,0.265890879,banana,8
0.600004859,0.578571429,0.235,0.470662981,0.789622824,0.355892303,0.288275965,banana,8
0.773339596,0.542857143,0.25,0.486497536,0.809961236,0.374909366,0.22755947,banana,8
0.673338787,0.5,0.225,0.491217546,0.783226298,0.425759235,0.265210408,banana,8
0.620005021,0.542857143,0.225,0.522301506,0.726902624,0.393653769,0.24551608,banana,8
0.633338463,0.5,0.2,0.557276595,0.801330829,0.361590019,0.26277796,banana,8
0.780006317,0.578571429,0.24,0.452583457,0.808314221,0.34191504,0.280099292,banana,8
0.740005993,0.528571429,0.24,0.538715114,0.717514384,0.413702793,0.289821972,banana,8
0.613338301,0.571428571,0.23,0.563852226,0.779428907,0.347728568,0.262370225,banana,8
0.613338301,0.5,0.2,0.558071224,0.742921805,0.337408532,0.215680229,banana,8
0.800006479,0.585714286,0.235,0.53220484,0.720798757,0.373346196,0.288039661,banana,8
0.740005993,0.592857143,0.25,0.570121424,0.747561606,0.311125386,0.230922375,banana,8
0.646671904,0.492857143,0.2,0.487937698,0.749528408,0.337924297,0.273150283,banana,8
0.593338139,0.614285714,0.25,0.449461468,0.769863246,0.430898003,0.225548612,banana,8
0.593338139,0.571428571,0.25,0.493377227,0.725816532,0.430868815,0.218970732,banana,8
0.786673038,0.592857143,0.23,0.459573996,0.760887709,0.419442828,0.241593552,banana,8
0.673338787,0.621428571,0.2,0.53638826,0.774310793,0.350417318,0.234858934,banana,8
0.660005345,0.621428571,0.21,0.533628753,0.737446114,0.438418813,0.248796257,banana,8
0.600004859,0.578571429,0.25,0.529051057,0.815262868,0.33275609,0.233733503,banana,8
0.633338463,0.592857143,0.235,0.530178806,0.753990124,0.424660303,0.226440996,banana,8
0.746672714,0.585714286,0.215,0.507894993,0.736449922,0.419162815,0.238572189,banana,8
0.566671256,0.6,0.23,0.563583022,0.821653112,0.412639575,0.261580931,banana,8
0.720005831,0.635714286,0.21,0.512373629,0.819837629,0.448293524,0.216636875,banana,8
0.546671094,0.5,0.25,0.512006912,0.749167359,0.431752889,0.220039138,banana,8
0.780006317,0.542857143,0.24,0.571755074,0.74588364,0.31147497,0.235167119,banana,8
0.60667158,0.635714286,0.205,0.592790221,0.726558177,0.255846833,0.221744822,banana,8
0.700005669,0.642857143,0.225,0.536552003,0.813195036,0.20905957,0.242575566,banana,8
0.720005831,0.621428571,0.24,0.538400023,0.804860695,0.275576166,0.252427887,banana,8
0.573337977,0.507142857,0.245,0.591352187,0.771660963,0.221150482,0.214856297,banana,8
0.533337653,0.514285714,0.22,0.50118295,0.763270952,0.157742259,0.273438196,banana,8
0.620005021,0.635714286,0.24,0.495985357,0.821908476,0.244843486,0.276747403,banana,8
0.086667369,0.392857143,0.1,0.22977205,0.073918801,0.339207551,0.311514285,beans,9
0.166668016,0.464285714,0.055,0.298826404,0.054225861,0.35060125,0.256031031,beans,9
0.20666834,0.357142857,0.085,0.389470644,0.082598106,0.368319585,0.263292306,beans,9
0.266668826,0.421428571,0.055,0.210322489,0.116434359,0.376640313,0.342211358,beans,9
0.013333441,0.4,0.075,0.368079467,0.102228288,0.381140806,0.180729493,beans,9
0.173334737,0.428571429,0.085,0.249432095,0.052699787,0.380259422,0.349120173,beans,9
0.113334251,0.371428571,0.08,0.305715673,0.070655515,0.355263102,0.140893891,beans,9
0.173334737,0.535714286,0.065,0.290265937,0.105855397,0.32288646,0.252023982,beans,9
0.113334251,0.385714286,0.06,0.265152506,0.106961378,0.339811947,0.323482152,beans,9
0.180001458,0.385714286,0.085,0.359009676,0.10436747,0.356031991,0.31608517,beans,9
0.186668178,0.378571429,0.095,0.301377622,0.046932092,0.348883372,0.350804335,beans,9
0.166668016,0.371428571,0.07,0.230253139,0.065465821,0.320631738,0.209502115,beans,9
0.186668178,0.535714286,0.06,0.298476268,0.051480777,0.358405285,0.35180179,beans,9
0.166668016,0.392857143,0.085,0.3540283,0.080727978,0.370510937,0.326991218,beans,9
0.080000648,0.521428571,0.09,0.200143936,0.052099998,0.387751321,0.209678698,beans,9
0.040000324,0.514285714,0.1,0.325833094,0.117865321,0.35581215,0.162985265,beans,9
0.146667854,0.528571429,0.06,0.348306138,0.071599778,0.374402935,0.281776897,beans,9
0.180001458,0.535714286,0.05,0.283240154,0.081098024,0.355134441,0.204998188,beans,9
0.066667207,0.357142857,0.09,0.341782281,0.062709392,0.345779743,0.334161607,beans,9
0.153334575,0.428571429,0.075,0.393048224,0.095271896,0.362218536,0.261120503,beans,9
0.126667693,0.521428571,0.055,0.326997989,0.10319494,0.382993983,0.158118679,beans,9
0.126667693,0.428571429,0.1,0.256272921,0.047065693,0.329740675,0.353406935,beans,9
0.146667854,0.464285714,0.07,0.260205464,0.079529342,0.312714912,0.162506822,beans,9
0.246668664,0.421428571,0.085,0.239309045,0.053271061,0.380992862,0.295508815,beans,9
0.073333927,0.471428571,0.06,0.306689873,0.084157697,0.348612361,0.196044587,beans,9
0.120000972,0.528571429,0.075,0.316530935,0.104710949,0.368968948,0.340641332,beans,9
0.140001134,0.414285714,0.06,0.192084455,0.057996345,0.384928676,0.261058956,beans,9
0.160001296,0.535714286,0.085,0.218016425,0.057368803,0.331435379,0.231739361,beans,9
0.226668502,0.392857143,0.085,0.244273812,0.045430912,0.331316849,0.241617013,beans,9
0.106667531,0.5,0.08,0.267646944,0.10915888,0.338158257,0.207106717,beans,9
0.113334251,0.514285714,0.09,0.433697042,0.076483229,0.336733547,0.149192752,beans,9
0.246668664,0.478571429,0.065,0.277854411,0.119932656,0.345159089,0.253629556,beans,9
0.266668826,0.485714286,0.075,0.352976061,0.070691336,0.358699927,0.141448729,beans,9
